"product_id","product_name","category","quantity","price","supplier_name","manufacture_date","expiry_date"
35,"Puma T-shirt","Fashion",40,"1499.00","ActiveWear India","2024-01-12","2030-01-12"
36,"Ray-Ban Sunglasses","Fashion",20,"5599.00","VisionStyle Distributors","2023-12-15","2030-12-15"
37,"Fossil Wrist Watch","Fashion",15,"9999.00","TimeMart India","2023-08-10","2031-08-10"
38,"Samsung Tablet A7","Electronics",18,"20999.00","TechConnect Ltd","2023-09-15","2028-09-15"
39,"SanDisk 64GB Pendrive","Accessories",70,"699.00","DataStore India","2024-03-01","2029-03-01"
40,"Logitech Webcam","Accessories",25,"2999.00","TechTools Pvt Ltd","2024-02-14","2029-02-14"
41,"Epson Printer","Electronics",12,"13999.00","PrintZone India","2023-10-30","2029-10-30"
42,"Nestle Maggi 12 Pack","Grocery",60,"150.00","QuickEats Distributors","2024-09-01","2025-09-01"
43,"Parle-G Biscuits 800g","Grocery",80,"95.00","SnackWorld","2024-09-10","2025-09-10"
44,"Britannia Cake 300g","Grocery",90,"120.00","SweetTreats Ltd","2024-08-01","2025-02-01"
45,"Red Label Tea 1kg","Grocery",70,"530.00","DailyMart India","2024-09-15","2026-09-15"
46,"Daawat Basmati Rice 5kg","Grocery",50,"699.00","GrainWorld Pvt Ltd","2024-07-01","2026-07-01"
47,"Tata Salt 1kg","Grocery",150,"25.00","Essential Foods Co","2024-06-12","2027-06-12"
48,"Fortune Oil 1L","Grocery",100,"150.00","HealthyChoice India","2024-05-10","2026-05-10"
49,"Nestle Milkmaid","Grocery",60,"149.00","SweetWorld Distributors","2024-04-02","2026-04-02"
50,"Haldiram Namkeen","Grocery",90,"120.00","SnackZone Pvt Ltd","2024-03-20","2025-03-20"
51,"LG Washing Machine","Home Appliances",11,"37999.00","CleanTech Traders","2023-11-01","2031-11-01"
52,"IFB Dishwasher","Home Appliances",8,"52999.00","DishPro India","2023-09-22","2031-09-22"
53,"Realme Smartphone 12","Electronics",25,"24999.00","MobileMart India","2024-01-25","2029-01-25"
54,"Oppo Reno 8","Electronics",20,"28999.00","SmartGadgets Ltd","2023-10-10","2028-10-10"
55,"Vivo Y21","Electronics",18,"17999.00","TechWorld Pvt Ltd","2023-11-18","2028-11-18"
56,"Dell Keyboard","Accessories",45,"999.00","ITZone India","2024-02-11","2029-02-11"
57,"HP Monitor 24 Inch","Electronics",10,"13999.00","DisplayMart","2023-09-07","2028-09-07"
58,"LG Smart TV 55 Inch","Electronics",7,"64999.00","VisionWorld","2023-07-20","2029-07-20"
59,"Croma Microwave Oven","Home Appliances",14,"16999.00","KitchenSmart India","2023-12-10","2029-12-10"
60,"Samsung Soundbar","Electronics",9,"21999.00","AudioHub Pvt Ltd","2023-10-25","2028-10-25"
61,"Orient Ceiling Fan","Home Appliances",25,"1999.00","CoolBreeze India","2023-09-17","2031-09-17"
62,"Kent Air Purifier","Home Appliances",10,"12999.00","PureAir Ltd","2023-11-23","2031-11-23"
63,"Mi Smart Band 7","Accessories",35,"3999.00","WearTech India","2024-01-05","2029-01-05"
64,"Philips LED Bulb 12W","Home Appliances",100,"199.00","BrightLight Co","2024-03-01","2034-03-01"
65,"Borosil Glass Set","Kitchenware",50,"699.00","HomeEssentials","2024-02-02","2034-02-02"
66,"Milton Water Bottle 1L","Kitchenware",70,"399.00","CoolDrinks Suppliers","2024-01-20","2034-01-20"
67,"Cello Lunch Box","Kitchenware",40,"899.00","KitchenStore India","2024-03-05","2034-03-05"
68,"Pigeon Pressure Cooker","Kitchenware",30,"1499.00","CookPro Pvt Ltd","2023-12-18","2033-12-18"
69,"Prestige Fry Pan","Kitchenware",35,"1199.00","KitchenWorld Traders","2023-11-29","2033-11-29"
70,"Tupperware Container Set","Kitchenware",25,"2299.00","StorageSmart Ltd","2024-02-15","2034-02-15"
71,"Milton Flask 1L","Kitchenware",45,"699.00","ThermoTech Pvt Ltd","2023-12-25","2034-12-25"
72,"Butterfly Mixer Grinder","Home Appliances",15,"4299.00","SmartKitchen India","2024-01-18","2030-01-18"
73,"Havells Extension Board","Accessories",60,"499.00","PowerConnect Ltd","2024-03-10","2030-03-10"
74,"Panasonic Trimmer","Personal Care",25,"1999.00","ShavePro India","2023-12-12","2028-12-12"
75,"Beardo Hair Wax","Personal Care",40,"499.00","MenStyle Co","2024-02-14","2026-02-14"
76,"Philips Beard Trimmer","Personal Care",30,"1799.00","TrimTech Ltd","2023-11-05","2028-11-05"
77,"Himalaya Face Wash","Personal Care",100,"120.00","BeautyCart India","2024-05-01","2026-05-01"
78,"Nivea Body Lotion","Personal Care",80,"299.00","GlowHub Traders","2024-04-18","2026-04-18"
79,"Dove Shampoo 650ml","Personal Care",50,"450.00","CareZone Pvt Ltd","2024-06-20","2026-06-20"
80,"Parachute Hair Oil","Personal Care",90,"120.00","OilWorks India","2024-07-15","2026-07-15"
81,"Sunsilk Conditioner","Personal Care",60,"230.00","HairCare Ltd","2024-08-25","2026-08-25"
82,"Ustraa Face Scrub","Personal Care",40,"249.00","MenCare Pvt Ltd","2024-05-20","2026-05-20"
83,"LG Dishwasher","Home Appliances",10,"58999.00","CleanWave India","2023-09-15","2031-09-15"
84,"Samsung Washing Machine","Home Appliances",11,"43999.00","WashZone Ltd","2023-08-21","2031-08-21"
85,"Toshiba LED TV 50 Inch","Electronics",6,"44999.00","DisplayPro India","2023-10-30","2029-10-30"
86,"Voltas AC 1.5 Ton","Home Appliances",7,"38999.00","CoolTech Traders","2023-11-11","2031-11-11"
87,"Bajaj Mixer Grinder","Home Appliances",20,"3499.00","KitchenMart India","2023-09-12","2029-09-12"
88,"Intex Power Bank","Accessories",60,"1299.00","ChargePlus Ltd","2024-01-23","2029-01-23"
89,"Lenovo Tab M10","Electronics",16,"17999.00","TechStore India","2024-02-02","2029-02-02"
90,"Realme Buds Air 3","Accessories",40,"3499.00","SoundHub Pvt Ltd","2024-03-03","2029-03-03"
91,"Samsung Galaxy S21","Electronics",25,"69999.00","TechnoWorld Pvt Ltd","2023-05-12","2026-05-12"
92,"HP Pavilion Laptop","Electronics",15,"55999.00","DigitalZone India","2023-08-05","2028-08-05"
93,"Apple iPhone 13","Electronics",20,"79999.00","BrightTech Traders","2023-06-20","2027-06-20"
94,"Mi Power Bank 20000mAh","Accessories",60,"1799.00","Mi Electronics","2024-02-10","2028-02-10"
95,"Sony Bluetooth Speaker","Electronics",30,"4999.00","SoundWave Supplies","2024-01-22","2029-01-22"
96,"Boat Airdopes 441","Accessories",50,"2499.00","AudioCart India","2024-03-01","2028-03-01"
97,"LG 43 Inch LED TV","Electronics",10,"33999.00","VisionTech Store","2023-11-12","2028-11-12"
98,"Dell Inspiron Laptop","Electronics",18,"62999.00","CompuMart Pvt Ltd","2023-07-15","2028-07-15"
99,"Canon DSLR 1500D","Cameras",8,"45999.00","PhotoWorld India","2023-09-10","2029-09-10"
100,"Lenovo Mouse","Accessories",70,"599.00","Digital Solutions","2024-04-01","2029-04-01"
101,"Samsung Refrigerator 250L","Home Appliances",9,"28999.00","CoolTech Electronics","2023-08-01","2030-08-01"
